,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date
33,clebermauricio4,"#esquerdistasegueesquerdista
#forabolsonaro
#bolsonarovaicair
#EleNão
#StopBolsonaroMundial
#VidasNegrasImportam
#Bolsonarogenocida",Brasil,0,0,4762,4344,23378,"O Brasil agoniza com milhares de  mortes causadas pelo coronavírus e o presidente age como psicopata, um ser insens… https://t.co/jdDivoVUfx",[],2020-05-01 23:59:59
34,Cristtinnalopes,"Deus acima de tudo, por que dele para ele são  todas as coisas!",,0,0,272,122,9762,"Adelio, o esfaqueador de Bolsonaro, está com coronavirus.
Este a Polícia Federal tem que ficar do lado da cama dele… https://t.co/2S9X7UibQ0",[],2020-05-01 23:59:59
35,mawiavg,axé!,,0,0,241,163,7000,"Uma criança do Quênia, inventou essa maneira de lavar as mãos sem contato e assim evitar a transmissão do coronavir… https://t.co/KYOZMXeGVU",[],2020-05-01 23:59:59
36,lapatoB,"Andy del 64. 
Cocino porque me reinventé.
Divorciada. Ahora vivo con uno bueno del 63. 
#PRO bien línea #Pato 
#MacriEsElLider 🇦🇷","Vicente López, Argentina",0,0,2358,1227,9766,Coronavirus en Argentina: allanan otra clínica del GBA tras una muerte por presunto incumplimiento del protocolo - https://t.co/qmSaifdZLc,[],2020-05-01 23:59:59
37,JonatanJGomez,Dr. en Cs Aplicadas y Lic. en Cs. Biológicas. Actualmente JTP - Universidad Nac. de Luján.,"Luján, Argentina",0,0,99,21,1090,Murió una mujer de 77 años internada en la clínica San José Obrero por covid-19 en Luján.,[],2020-05-01 23:59:59
38,SudhirRamkumar,The Crazy Clown🤡🤡,Samastipur,0,0,269,30,973,I welcome the announcements by the Chief of Defence Staff today. India has waged a strong fight against COVID-19 du… https://t.co/GGWgimO6ZX,[],2020-05-01 23:59:59
39,Jim63828455,,,0,0,38,82,83503,"“It will magically disappear in April”: Government orders 100,000 new body bags as Trump minimizes death toll… https://t.co/bsGrqdwx2l",['corona'],2020-05-01 23:59:59
40,dawahre,Student Affairs Professional - Director of Student Services - FLVC - Florida State University (Personal Account),"Florida, USA",0,0,1042,226,367,"Today is College Decision Day for many high school seniors, where they will commit to a college or university!  Whi… https://t.co/K3ewSHJTCb",[],2020-05-01 23:59:59
41,Elsatovar02gma1,,,0,0,550,28,37415,EEUU aprueba el uso del Remdesivir contra el coronavirus. Trump aseguró que los resultados preliminares muestran qu… https://t.co/Skw9kLGd8F,[],2020-05-01 23:59:59
42,kellytoto1,,,0,0,251,134,14417,BREAKING: The White House just blocked Dr. Fauci from testifying in front of Congress next week. Because they want… https://t.co/5rYlpZ3w3t,[],2020-05-01 23:59:59
43,IvaniaM12992225,,,0,0,241,34,1648,"Por favor... Cuidemosno.
#COVID__19 https://t.co/gefv1Ar9dw",['COVID__19'],2020-05-01 23:59:59
44,chanamaki,La verdadera revolución por la paz empieza por nuestro aporte diario de pensamientos y emociones coherentes. Siempre Aquí y ahora. La Paz Comienza Conmigo. ⚜🕯,,0,0,465,271,32957,Saben que van a hacer los 130 representantes que votaron por prohibir las sesiones Semi-Presenciales que permitiera… https://t.co/Bv7qPOrjZO,[],2020-05-01 23:59:59
45,CaroAvila15,La señora de los gatos 🐱🐈😻,,0,0,367,28,565,La dirección registrada por León Barttlet para la  empresa filial a la que @TU_IMSS adjudicó la compra de ventilado… https://t.co/xK57vynS5I,[],2020-05-01 23:59:59
