,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
271,271,thetrainmon,"Ride the (J) Train for Boston-style sarcasm & humor! Center-Left. Skewers faux Progressives. Regular outdoor runner & cyclist + gym, practicing social dist.",Greater Boston and Beyond,0,0,1161,407,42340,Support your local restaurants! #smallbusiness #COVID19 #coronavirus.  (@ Imperial China) on #Yelp https://t.co/MS7SjcYQFV,"['smallbusiness', 'COVID19', 'coronavirus', 'Yelp']",2020-06-21 23:59:55,en
272,272,Walton_Dornisch,"Founder ""You and Me Across Time"" - We build video monuments for people and their families; creating a sense of immortality. I am so proud to be YC Certified!","los angeles, california",0,0,126,290,37611,"BREAKING: Trump just said he told his people to slow down coronavirus testing in America, because it was increasing… https://t.co/duvIsXeELJ",[],2020-06-21 23:59:55,en
273,273,SquirrelBalls2,Neurotic hippie.,"Milwaukee, WI",2,0,506,485,16042,"filter ideas for dating sites instead of race:

•do BLM
•do you wear a mask in public
•are you social distancing 
•… https://t.co/tocJd71ogn",[],2020-06-21 23:59:55,en
274,274,Moothong2007,"Tennis lover, especially Rafael Nadal. Other sport of interest are Goft and Soccer, especially ManU",,0,0,310,347,157482,"Grigor Dimitrov, fresh off his appearance at the Adria Series events, tests positive for COVID-19.

He becomes the… https://t.co/tXTwF88KWy",[],2020-06-21 23:59:55,en
275,275,gilbo_the_2nd,"I love cake, dancing, cats and minis. Coeliac. Married and a mom of 3 humans and 3 cats and 2 dogs 😊",,0,0,1697,404,4153,"If everyone who has been grateful for NHS staff over the last three months followed and retweeted, we would reach a… https://t.co/AOtMqikgqi",[],2020-06-21 23:59:55,en
281,281,ArmsBizarre,Joshua from Arms Bizarre & Spiritus (new solo venture),"Virginia Beach, VA",0,0,775,315,2086,President Donald Trump's intended show of political force amid a pandemic featured thousands of empty seats and new… https://t.co/K3proH1RTs,[],2020-06-21 23:59:54,en
284,284,dtxtc13,,,0,0,3594,3202,112271,GENEVA (AP) — The World Health Organization on Sunday reported the largest single-day increase in coronavirus cases… https://t.co/aHf07mwHB9,[],2020-06-21 23:59:54,en
285,285,TobiasBDog,"Ok ok. I'm not really a dog. Maybe. Look all I'm saying is that you cannot tell if someone on the internet is really a beautiful, portly hound dog or not.",,0,0,2683,1247,94369,"My initial gut reaction seeing this picture was one of pity for Trump, an old man with a stressful job during a tum… https://t.co/NoHxNbh8wV",[],2020-06-21 23:59:54,en
289,289,ShameOnAmerica2,Voted Blue to restore the soul of our country. #VoteBlue2022 #EndRacism #WhenWeAllVote #BlackLivesMatter #wediditjoe ❤️🤍💙,My Country Tis of Thee ,0,0,3308,3400,21034,The @SenateGOP must pass the #HEROESAct now. What could possibly be stopping #MitchMcConnell from doing the work to… https://t.co/lIFyRUhGXI,"['HEROESAct', 'MitchMcConnell']",2020-06-21 23:59:54,en
297,297,Skanlyn123,,,0,0,100,4,953,"@NeverGetGot @Atlas_Shoulders @Pr1ncessLily @CNN No matter. Economy is in the toilet, tens of thousands of people a… https://t.co/QKcs1ZCEQA",[],2020-06-21 23:59:53,en
